year,state_code,pending_cases,solved_cases,total_cases,total_days,mean_disposition_days
2011,1,86158,778222,864380,571667976.0,734.582132090843
2011,2,5611,152599,158210,133519441.0,874.9693051723799
2011,3,33830,588770,622600,322574725.0,547.8790104794741
2011,4,12306,224628,236934,189326646.0,842.8452641700945
2011,5,4666,39702,44368,40018160.0,1007.9633267845448
2011,6,4183,68041,72224,59017025.0,867.3744506988434
2011,7,10814,45490,56304,60658446.0,1333.4457243350187
2011,8,103131,69243,172374,100834499.0,1456.2410496367863
2011,9,47079,203803,250882,263798221.0,1294.3784978631325
2011,10,22694,199068,221762,210777236.0,1058.820282516527
2011,11,40666,61597,102263,95234937.0,1546.0970014773447
2011,12,5253,17905,23158,16800086.0,938.2901982686401
2011,13,265435,495214,760649,589305318.0,1190.0013287184934
2011,14,2267,177900,180167,149562180.0,840.7092748735245
2011,15,3275,36057,39332,30742318.0,852.6033225171257
2011,16,45221,100441,145662,102509526.0,1020.5944385260999
2011,17,29097,343371,372468,298324486.0,868.8109537497343
2011,18,1594,35064,36658,39710369.0,1132.5110939995436
2011,19,31,634,665,366502.0,578.0788643533123
2011,20,495,7617,8112,5868014.0,770.3838781672574
2011,21,183,1122,1305,712366.0,634.9073083778966
2011,22,1998,164542,166540,146929667.0,892.9614748817932
2011,23,20028,373889,393917,289204796.0,773.5044251101262
2011,24,1,421,422,296382.0,703.9952494061757
2011,25,83,1093,1176,1303683.0,1192.7566331198536
2011,26,9931,94056,103987,65245117.0,693.6837309687845
2011,27,144,14779,14923,11875963.0,803.5701332972461
2011,29,4829,107914,112743,100468568.0,931.0058750486498
2011,30,790,22512,23302,8771576.0,389.6400142146411
2011,31,12,577,589,399912.0,693.0883882149046
2011,32,34,636,670,509953.0,801.812893081761
2011,33,1,2,3,4540.0,2270.0
